mobile_subscriber_id,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30
266629,0.7624,0.1818,0.0713,0.1428,NULL,NULL
278036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
283609,23.6028,11.4072,10.2893,8.1017,NULL,NULL
2898176,1.2991,3.7274,6.9116,2.8500,4.8523,9.6687
2915156,0.1664,0.1721,0.1982,0.1508,0.2279,0.2507
2920729,13.7497,10.3787,29.2609,13.0905,0.4052,0.2778
2932136,NULL,NULL,NULL,NULL,NULL,0.0000
270897,3.5333,0.1762,0.5332,0.6340,0.9059,0.0162
287877,0.0044,0.1230,0.4070,0.0192,0.0083,0.3941
2910888,6.1729,4.1499,6.7823,4.8769,6.0638,8.2831
2924997,0.0378,0.0406,0.0443,0.0246,0.0290,0.0439
2927868,0.1330,0.2693,0.2068,0.1505,0.2632,0.2062
253917,NULL,NULL,NULL,NULL,0.0595,0.0482
218560,0.7263,0.9418,1.1137,0.8969,3.0837,7.4706
263927,0.0077,NULL,NULL,NULL,NULL,NULL
280738,0.0590,0.0966,0.1132,NULL,NULL,NULL
2901047,3.3450,2.5432,1.6091,1.5451,1.1212,1.3229
2906620,0.3663,1.7929,0.8179,NULL,0.1240,0.0281
2917858,47.0093,31.4922,37.6209,22.3153,29.6582,27.5779
2923600,1.5322,1.8258,4.2483,0.1433,4.4557,0.1190
2935007,NULL,NULL,NULL,NULL,NULL,0.0052
214292,0.0400,0.1370,0.0828,0.0583,0.0575,0.5178
242510,0.0047,0.0060,0.0083,0.0065,0.0038,0.0060
259490,3.8954,2.8046,1.8508,2.8395,4.4118,3.8139
265232,0.0339,0.0601,0.0630,0.0260,0.0454,0.1155
276470,0.6126,0.3847,0.9422,0.9445,1.7010,0.6896
2913590,23.4834,17.6328,19.4060,26.0536,37.0138,23.1578
2922295,0.0296,0.0042,0.0777,0.1243,NULL,NULL
285175,NULL,12.0945,NULL,NULL,NULL,NULL
243907,0.0142,0.0129,0.0158,0.0140,NULL,NULL
243984,0.4803,1.8546,0.0956,0.0214,0.1776,0.1738
277867,0.0001,0.0001,0.0000,0.0001,0.0001,0.0001
289274,0.4163,0.2939,0.2280,1.6300,1.1399,1.0984
289351,3.2436,2.7733,5.8518,4.4088,5.6821,3.2989
2903580,0.0140,0.0089,0.0074,0.0168,0.0121,0.0448
2914987,0.6177,0.3996,0.1598,0.3360,0.5527,1.5856
2926394,NULL,0.6053,5.3090,5.0202,3.9406,3.8358
2937878,NULL,NULL,NULL,NULL,NULL,NULL
225361,0.1218,0.1172,0.2109,0.1912,0.1371,0.1724
245212,0.9891,0.6300,0.9807,5.1998,2.9888,5.2292
268026,0.2122,0.2468,0.0619,0.2720,0.4152,0.2853
279510,0.0032,0.0028,0.0031,0.0030,0.0031,0.0030
2902275,0.2777,0.5294,0.4080,0.4818,0.3545,0.1114
2905146,0.0141,0.3385,0.0037,NULL,NULL,NULL
276639,NULL,NULL,NULL,0.0281,0.3647,0.1584
2913759,NULL,NULL,NULL,NULL,0.0444,0.0004
2939106,NULL,NULL,NULL,NULL,NULL,NULL
2916630,NULL,NULL,NULL,NULL,NULL,NULL
212895,2.5410,2.6287,3.8758,3.1203,4.7111,5.2727
224133,0.5639,0.4158,0.4115,0.8085,0.5628,0.4786
2935176,NULL,NULL,NULL,NULL,NULL,NULL
233897,1.3904,0.8746,3.6031,6.0927,5.7719,8.0489
288046,13.2566,10.7353,18.6967,13.6121,14.7066,25.6214
2904977,0.0001,0.0738,0.1006,0.0029,0.0003,0.0281
2913928,1.4754,1.8954,2.0584,2.9435,5.2260,4.4225
2925166,NULL,0.2277,2.5412,4.7349,0.0477,0.2822
213954,NULL,NULL,0.0057,NULL,NULL,NULL
279341,NULL,NULL,NULL,10.4786,10.0126,26.5580
2936404,NULL,NULL,NULL,NULL,NULL,NULL
272540,0.7827,0.3566,1.1454,1.0572,1.6439,1.1407
277698,0.0560,0.0346,0.0746,0.0717,0.0352,0.4064
289105,1.0668,1.5852,0.2417,0.7690,0.4309,0.4665
2909660,3.4496,2.6309,6.5720,7.2740,9.5483,7.1171
2914818,0.7278,0.6232,0.8869,1.2439,1.2222,0.9881
2926225,1.8780,0.8498,5.9351,5.6996,5.4661,10.3361
2926640,NULL,2.7616,1.4242,1.0459,1.7929,4.1621
2943205,NULL,NULL,NULL,NULL,NULL,NULL
205510,0.0369,0.0030,0.0025,0.0306,NULL,NULL
236599,3.0709,3.2634,4.5063,2.8064,4.1923,1.9967
268272,1.1701,0.4958,1.1118,0.3923,0.4787,0.2562
2905392,0.0706,0.0105,0.0140,0.1187,4.5247,3.9238
2919501,0.6533,0.5947,0.8412,0.8581,2.6654,1.5696
282381,NULL,NULL,NULL,0.0002,0.0079,0.0538
2942315,NULL,NULL,NULL,NULL,NULL,NULL
201073,0.3868,3.9025,3.7972,2.5588,2.2837,0.1988
230044,0.7925,0.7825,0.7524,1.6913,0.3252,0.8203
252274,0.2094,2.1578,1.7350,3.0136,2.9377,4.9433
275242,44.2905,35.3970,28.9554,34.3679,53.0341,38.2295
2906374,0.0003,0.0003,0.0003,0.0001,0.0001,0.0000
2912116,0.0496,0.0448,0.0094,NULL,NULL,1.7943
2923523,1.9727,1.6251,1.7215,8.9868,4.1046,4.9437
